model_id,model,publisher,family_id,repository_revision,kind,architecture,parameters_b_state,parameters_b,parameter_scope_note,active_b_state,active_b,context_state,context_tokens,context_note,persian_evidence,license,commercial_use_state,commercial_use,applications,evidence_ids
model:baai-bge-m3,bge-m3,BAAI,family:bge,5617a9f61b028005a4858fdac845db406aefb181,embedding,dense,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,not-applicable,,known,8192,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,MIT,known,allowed,enterprise-rag,evidence:baai-bge-m3-card;evidence:baai-bge-m3-metadata;evidence:baai-bge-m3-parameters;evidence:baai-bge-m3-license;evidence:baai-bge-m3-context;evidence:baai-bge-m3-config
model:baai-bge-reranker-v2-m3,bge-reranker-v2-m3,BAAI,family:bge,953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e,reranker,dense,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,not-applicable,,unknown,,حد واقعی ورودی از مثال max_length یا شمار موقعیت config استنتاج نشده است.,not-evaluated,Apache-2.0,known,allowed,enterprise-rag,evidence:baai-bge-reranker-v2-m3-card;evidence:baai-bge-reranker-v2-m3-metadata;evidence:baai-bge-reranker-v2-m3-parameters;evidence:baai-bge-reranker-v2-m3-license;evidence:baai-bge-reranker-v2-m3-context;evidence:baai-bge-reranker-v2-m3-config
model:coherelabs-aya-expanse-32b,aya-expanse-32b,Cohere Labs,family:aya-cohere,b306ea27e360683b50c005d7fcbad6a242317910,generative,dense,known,32.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,publisher-claimed,CC-BY-NC-4.0 + Cohere Acceptable Use Policy,known,prohibited,text-work,evidence:coherelabs-aya-expanse-32b-card;evidence:coherelabs-aya-expanse-32b-metadata;evidence:coherelabs-aya-expanse-32b-parameters;evidence:coherelabs-aya-expanse-32b-license;evidence:coherelabs-aya-expanse-32b-context
model:coherelabs-aya-expanse-8b,aya-expanse-8b,Cohere Labs,family:aya-cohere,5062468bf9bc0c6035fd64e06274333ec127d980,generative,dense,known,8.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,8192,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,publisher-claimed,CC-BY-NC-4.0 + Cohere Acceptable Use Policy,known,prohibited,text-work,evidence:coherelabs-aya-expanse-8b-card;evidence:coherelabs-aya-expanse-8b-metadata;evidence:coherelabs-aya-expanse-8b-parameters;evidence:coherelabs-aya-expanse-8b-license;evidence:coherelabs-aya-expanse-8b-context
model:coherelabs-tiny-aya-global,tiny-aya-global,Cohere Labs,family:aya-cohere,00590ff258ccd84a805f13efcd1c34c2a542654f,generative,dense,known,3.35,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,منبع برای Tiny Aya ورودی 8K و خروجی 8K را جدا گفته؛ پنجرهٔ ترکیبی بدون ابهام مشخص نیست.,publisher-claimed,CC-BY-NC-4.0 + Cohere Acceptable Use Policy,known,prohibited,text-work,evidence:coherelabs-tiny-aya-global-card;evidence:coherelabs-tiny-aya-global-metadata;evidence:coherelabs-tiny-aya-global-parameters;evidence:coherelabs-tiny-aya-global-license;evidence:coherelabs-tiny-aya-global-context
model:huggingfacetb-smollm2-1-7b-instruct,SmolLM2-1.7B-Instruct,Hugging Face,family:smollm,31b70e2e869a7173562077fd711b654946d38674,generative,dense,known,1.7,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,Apache-2.0,known,allowed,text-work,evidence:huggingfacetb-smollm2-1-7b-instruct-card;evidence:huggingfacetb-smollm2-1-7b-instruct-metadata;evidence:huggingfacetb-smollm2-1-7b-instruct-parameters;evidence:huggingfacetb-smollm2-1-7b-instruct-license;evidence:huggingfacetb-smollm2-1-7b-instruct-config
model:huggingfacetb-smollm2-135m-instruct,SmolLM2-135M-Instruct,Hugging Face,family:smollm,12fd25f77366fa6b3b4b768ec3050bf629380bac,generative,dense,known,0.135,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,Apache-2.0,known,allowed,text-work,evidence:huggingfacetb-smollm2-135m-instruct-card;evidence:huggingfacetb-smollm2-135m-instruct-metadata;evidence:huggingfacetb-smollm2-135m-instruct-parameters;evidence:huggingfacetb-smollm2-135m-instruct-license;evidence:huggingfacetb-smollm2-135m-instruct-config
model:huggingfacetb-smollm2-360m-instruct,SmolLM2-360M-Instruct,Hugging Face,family:smollm,a10cc1512eabd3dde888204e902eca88bddb4951,generative,dense,known,0.36,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,Apache-2.0,known,allowed,text-work,evidence:huggingfacetb-smollm2-360m-instruct-card;evidence:huggingfacetb-smollm2-360m-instruct-metadata;evidence:huggingfacetb-smollm2-360m-instruct-parameters;evidence:huggingfacetb-smollm2-360m-instruct-license;evidence:huggingfacetb-smollm2-360m-instruct-config
model:huggingfacetb-smollm3-3b,SmolLM3-3B,Hugging Face,family:smollm,a07cc9a04f16550a088caea529712d1d335b0ac1,generative,dense,known,3.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,Apache-2.0,known,allowed,text-work;reasoning-analysis;agents-tools,evidence:huggingfacetb-smollm3-3b-card;evidence:huggingfacetb-smollm3-3b-metadata;evidence:huggingfacetb-smollm3-3b-parameters;evidence:huggingfacetb-smollm3-3b-license;evidence:huggingfacetb-smollm3-3b-config
model:qwen-qwen3-0-6b,Qwen3-0.6B,Qwen / Alibaba Cloud,family:qwen,c1899de289a04d12100db370d81485cdf75e47ca,generative,dense,known,0.6,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,text-work;coding-assistant;reasoning-analysis;agents-tools,evidence:qwen-qwen3-0-6b-card;evidence:qwen-qwen3-0-6b-metadata;evidence:qwen-qwen3-0-6b-parameters;evidence:qwen-qwen3-0-6b-license;evidence:qwen-qwen3-0-6b-context;evidence:qwen-qwen3-0-6b-config
