model,reporter,relationship,benchmark,version,metric,value,unit,evaluatedRevision,sourceDocumentRevision,evaluatedOn,publishedOn,accessedOn,settings,sources
DeepSeek-R1-Distill-Llama-70B,DeepSeek,publisher,AIME 2024,,pass@1,70.0,percent,,b1c0b44b4369b597ad119a196caf79a9c40e141e,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B/blob/b1c0b44b4369b597ad119a196caf79a9c40e141e/README.md
DeepSeek-R1-Distill-Llama-70B,DeepSeek,publisher,AIME 2024,,cons@64,86.7,percent,,b1c0b44b4369b597ad119a196caf79a9c40e141e,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B/blob/b1c0b44b4369b597ad119a196caf79a9c40e141e/README.md
DeepSeek-R1-Distill-Llama-70B,DeepSeek,publisher,MATH-500,,pass@1,94.5,percent,,b1c0b44b4369b597ad119a196caf79a9c40e141e,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B/blob/b1c0b44b4369b597ad119a196caf79a9c40e141e/README.md
DeepSeek-R1-Distill-Llama-70B,DeepSeek,publisher,GPQA Diamond,,pass@1,65.2,percent,,b1c0b44b4369b597ad119a196caf79a9c40e141e,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B/blob/b1c0b44b4369b597ad119a196caf79a9c40e141e/README.md
DeepSeek-R1-Distill-Llama-70B,DeepSeek,publisher,LiveCodeBench,,pass@1,57.5,percent,,b1c0b44b4369b597ad119a196caf79a9c40e141e,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B/blob/b1c0b44b4369b597ad119a196caf79a9c40e141e/README.md
DeepSeek-R1-Distill-Llama-70B,DeepSeek,publisher,Codeforces,,rating,1633,rating,,b1c0b44b4369b597ad119a196caf79a9c40e141e,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""روش گزارش"": ""rating در جدول ناشر؛ روش تبدیل به rating و تعداد نمونهٔ آن جداگانه تشریح نشده است.""}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B/blob/b1c0b44b4369b597ad119a196caf79a9c40e141e/README.md
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,publisher,AIME 2024,,pass@1,28.9,percent,,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B/blob/ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562/README.md
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,publisher,AIME 2024,,cons@64,52.7,percent,,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B/blob/ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562/README.md
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,publisher,MATH-500,,pass@1,83.9,percent,,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B/blob/ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562/README.md
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,publisher,GPQA Diamond,,pass@1,33.8,percent,,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B/blob/ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562/README.md
