softwareReleaseId,capability,status,provision,evidenceIds,note
software-release:ollama-v0-34-0,task-generation,conditional,native,evidence:software-ollama-task-generation,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,task-embedding,conditional,native,evidence:software-ollama-task-embedding,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,task-reranking,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,task-classification,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,queueing,conditional,native,evidence:software-ollama-queueing,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,concurrency,conditional,native,evidence:software-ollama-concurrency,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,continuous-batching,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,admission-control,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,model-load-unload,conditional,native,evidence:software-ollama-model-load-unload,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,multi-model,conditional,native,evidence:software-ollama-multi-model,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,cold-start-control,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,prefix-caching,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,speculative-decoding,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,cpu-gpu-offload,conditional,native,evidence:software-ollama-cpu-gpu-offload,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,kv-cache-offload,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,layer-wise-loading,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,multi-gpu-sharding,conditional,native,evidence:software-ollama-multi-gpu-sharding,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,independent-replicas,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,streaming,conditional,native,evidence:software-ollama-streaming,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,structured-output,conditional,native,evidence:software-ollama-structured-output,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,tool-use,conditional,native,evidence:software-ollama-tool-use,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:ollama-v0-34-0,reasoning-control,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,model-template-selection,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,parser-selection,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,monitoring,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,metrics,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,health-check,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,authentication,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:ollama-v0-34-0,rate-limiting,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,task-generation,conditional,native,evidence:software-vllm-task-generation,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:vllm-v0-29-0,task-embedding,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,task-reranking,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,task-classification,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,queueing,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,concurrency,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,continuous-batching,conditional,native,evidence:software-vllm-continuous-batching,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:vllm-v0-29-0,admission-control,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,model-load-unload,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,multi-model,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,cold-start-control,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,prefix-caching,conditional,native,evidence:software-vllm-prefix-caching,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:vllm-v0-29-0,speculative-decoding,conditional,native,evidence:software-vllm-speculative-decoding,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:vllm-v0-29-0,cpu-gpu-offload,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,kv-cache-offload,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,layer-wise-loading,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,multi-gpu-sharding,conditional,native,evidence:software-vllm-multi-gpu-sharding,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:vllm-v0-29-0,independent-replicas,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,streaming,conditional,native,evidence:software-vllm-streaming,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:vllm-v0-29-0,structured-output,conditional,native,evidence:software-vllm-structured-output,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:vllm-v0-29-0,tool-use,conditional,native,evidence:software-vllm-tool-use,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
software-release:vllm-v0-29-0,reasoning-control,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,model-template-selection,not-reviewed,,,نبود شاهد به معنی نبود قابلیت نیست.
software-release:vllm-v0-29-0,parser-selection,conditional,native,evidence:software-vllm-parser-selection,مدل، معماری، runtime و تنظیمات لازم باید مطابق مستندات همین نسخه انتخاب شوند؛ هنوز deployment مشخصی آزموده نشده است.
