model,releasedOn,precision,lastReviewedOn,releaseSources
bge-m3,2024-01-30,day,2026-09-15,https://github.com/FlagOpen/FlagEmbedding
bge-reranker-v2-m3,2024-03-18,day,2026-09-15,https://github.com/FlagOpen/FlagEmbedding
aya-expanse-32b,2024-10-24,day,2026-09-15,https://cohere.com/blog/aya-expanse-connecting-our-world
aya-expanse-8b,2024-10-24,day,2026-09-15,https://cohere.com/blog/aya-expanse-connecting-our-world
tiny-aya-global,2026-02-17,day,2026-09-15,https://cohere.com/blog/cohere-labs-tiny-aya
SmolLM2-1.7B-Instruct,,unknown,2026-09-15,
SmolLM2-135M-Instruct,,unknown,2026-09-15,
SmolLM2-360M-Instruct,,unknown,2026-09-15,
SmolLM3-3B,2025-07-08,day,2026-09-15,https://huggingface.co/blog/smollm3
Qwen3-0.6B,2025-04-29,day,2026-09-15,https://qwenlm.github.io/blog/qwen3/
Qwen3-1.7B,2025-04-29,day,2026-09-15,https://qwenlm.github.io/blog/qwen3/
Qwen3-14B,2025-04-29,day,2026-09-15,https://qwenlm.github.io/blog/qwen3/
Qwen3-30B-A3B,2025-04-29,day,2026-09-15,https://qwenlm.github.io/blog/qwen3/
Qwen3-32B,2025-04-29,day,2026-09-15,https://qwenlm.github.io/blog/qwen3/
Qwen3-4B,2025-04-29,day,2026-09-15,https://qwenlm.github.io/blog/qwen3/
Qwen3-8B,2025-04-29,day,2026-09-15,https://qwenlm.github.io/blog/qwen3/
Qwen3-Coder-30B-A3B-Instruct,,unknown,2026-09-15,
Qwen3-Embedding-0.6B,2025-06-05,day,2026-09-15,https://qwenlm.github.io/blog/qwen3-embedding/
Qwen3-Embedding-4B,2025-06-05,day,2026-09-15,https://qwenlm.github.io/blog/qwen3-embedding/
Qwen3-Embedding-8B,2025-06-05,day,2026-09-15,https://qwenlm.github.io/blog/qwen3-embedding/
Qwen3-Reranker-0.6B,2025-06-05,day,2026-09-15,https://qwenlm.github.io/blog/qwen3-embedding/
Qwen3-Reranker-4B,2025-06-05,day,2026-09-15,https://qwenlm.github.io/blog/qwen3-embedding/
Qwen3-Reranker-8B,2025-06-05,day,2026-09-15,https://qwenlm.github.io/blog/qwen3-embedding/
Qwen3-VL-8B-Instruct,2025-10-15,day,2026-09-15,https://github.com/QwenLM/Qwen3-VL
Qwen3.5-2B,2026-03-02,day,2026-09-15,https://github.com/QwenLM/Qwen3.5
Qwen3.5-35B-A3B,2026-02-24,day,2026-09-15,https://github.com/QwenLM/Qwen3.5
Qwen3.5-4B,2026-03-02,day,2026-09-15,https://github.com/QwenLM/Qwen3.5
Qwen3.5-9B,2026-03-02,day,2026-09-15,https://github.com/QwenLM/Qwen3.5
Qwen3.8-27B,2026-08-14,day,2026-09-15,https://github.com/QwenLM/Qwen3.5
Olmo-3-7B-Instruct,2025-11-20,day,2026-09-15,https://allenai.org/blog/olmo3
DeepSeek-R1-0528-Qwen3-8B,2025-05-28,day,2026-09-15,https://api-docs.deepseek.com/zh-cn/news/news250528/
DeepSeek-R1-Distill-Llama-70B,2025-01-20,day,2026-09-15,https://api-docs.deepseek.com/news/news250120/
DeepSeek-R1-Distill-Qwen-1.5B,2025-01-20,day,2026-09-15,https://api-docs.deepseek.com/news/news250120/
DeepSeek-R1-Distill-Qwen-14B,2025-01-20,day,2026-09-15,https://api-docs.deepseek.com/news/news250120/
DeepSeek-R1-Distill-Qwen-32B,2025-01-20,day,2026-09-15,https://api-docs.deepseek.com/news/news250120/
DeepSeek-R1-Distill-Qwen-7B,2025-01-20,day,2026-09-15,https://api-docs.deepseek.com/news/news250120/
DeepSeek-V3.2,2025-12-01,day,2026-09-15,https://api-docs.deepseek.com/updates/
DeepSeek-V4.1-Flash,2026-09-10,day,2026-09-15,https://api-docs.deepseek.com/updates/
gemma-3-12b-it,2025-03-10,day,2026-09-15,https://ai.google.dev/gemma/docs/releases
gemma-3-1b-it,2025-03-10,day,2026-09-15,https://ai.google.dev/gemma/docs/releases
gemma-3-27b-it,2025-03-10,day,2026-09-15,https://ai.google.dev/gemma/docs/releases
gemma-3-4b-it,2025-03-10,day,2026-09-15,https://ai.google.dev/gemma/docs/releases
