id,title,url,locator,revision,accessed_on,kind,scope,limitations
evidence:baai-bge-m3-card,bge-m3 — model card,https://huggingface.co/BAAI/bge-m3/blob/5617a9f61b028005a4858fdac845db406aefb181/README.md,"README.md: model description / architecture / intended use; matching lines 24, 245",5617a9f61b028005a4858fdac845db406aefb181,2026-09-15,publisher-report,BAAI/bge-m3؛ شناسنامه و کاربرد اعلام‌شده، بدون تأیید مستقل.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کیفیت، زمان پاسخ و حداقل سخت‌افزار از شناسنامه استنتاج نمی‌شود.
evidence:baai-bge-m3-metadata,bge-m3 — Hub metadata,https://huggingface.co/api/models/BAAI/bge-m3?blobs=true,$.sha; $.id; $.pipeline_tag; $.cardData; $.safetensors; $.siblings,5617a9f61b028005a4858fdac845db406aefb181,2026-09-15,publisher-report,BAAI/bge-m3؛ فرادادهٔ مشاهده‌شده در این تاریخ، نه اندازه‌گیری اجرای مدل.,فهرست فایل و شمار tensorها معادل حافظهٔ اجرا یا شمار پارامتر یکتا نیست.
evidence:baai-bge-m3-parameters,bge-m3 — parameter specification,https://huggingface.co/BAAI/bge-m3/blob/5617a9f61b028005a4858fdac845db406aefb181/README.md,"README.md: parameter count / named model variant; matching lines 12, 14, 26, 36, 40, 43, 45, 46, 48, 57, 58, 59",5617a9f61b028005a4858fdac845db406aefb181,2026-09-15,publisher-report,BAAI/bge-m3؛ شمار پارامترهای معرفی‌شده و حدود شمارش آن‌ها.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.
evidence:baai-bge-m3-license,bge-m3 — license declaration,https://huggingface.co/BAAI/bge-m3/blob/5617a9f61b028005a4858fdac845db406aefb181/README.md,README.md: license / underlying-model terms; Hub $.cardData.license; matching lines 7,5617a9f61b028005a4858fdac845db406aefb181,2026-09-15,publisher-report,BAAI/bge-m3؛ نام و شرایط مجوز اعلام‌شدهٔ ناشر؛ بدون داوری دربارهٔ اجرای حقوقی در ایران.,
evidence:baai-bge-m3-config,bge-m3 — configuration,https://huggingface.co/BAAI/bge-m3/blob/5617a9f61b028005a4858fdac845db406aefb181/config.json,"config.json: architectures, model_type, text_config, max_position_embeddings, quantization_config, torch_dtype/dtype",5617a9f61b028005a4858fdac845db406aefb181,2026-09-15,publisher-report,BAAI/bge-m3؛ پیکربندی checkpoint، نه نتیجهٔ آزمون کیفیت یا سازگاری.,
evidence:baai-bge-m3-context,bge-m3 — context declaration,https://huggingface.co/BAAI/bge-m3/blob/5617a9f61b028005a4858fdac845db406aefb181/README.md,"README.md: context length / model specification / usage limits; matching lines 55, 59, 60, 61, 62, 133, 213",5617a9f61b028005a4858fdac845db406aefb181,2026-09-15,publisher-report,BAAI/bge-m3؛ طول زمینهٔ اعلام‌شده، جدا از مقدار پیکربندی و طول آزموده‌شده.,KV cache، توکن تصویر و خروجی تولیدی نیز باید در سناریوی واقعی حساب شوند.
evidence:baai-bge-m3-weight-files,bge-m3 — selected weight-file sizes,https://huggingface.co/api/models/BAAI/bge-m3?blobs=true,$.siblings[ rfilename matches selected manifest filenames ].size; $.sha,5617a9f61b028005a4858fdac845db406aefb181,2026-09-15,calculated-from-specifications,BAAI/bge-m3؛ جمع بایت فایل‌های وزن همین نمایش؛ توکنایزر، cache و تبدیل خارج است.,اندازهٔ دیسک است؛ معادل VRAM یا RAM نیست. | هیچ فایل وزن دانلود یا روی سخت‌افزار اجرا نشده است.
evidence:baai-bge-reranker-v2-m3-card,bge-reranker-v2-m3 — model card,https://huggingface.co/BAAI/bge-reranker-v2-m3/blob/953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e/README.md,"README.md: model description / architecture / intended use; matching lines 33, 34",953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e,2026-09-15,publisher-report,BAAI/bge-reranker-v2-m3؛ شناسنامه و کاربرد اعلام‌شده، بدون تأیید مستقل.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کیفیت، زمان پاسخ و حداقل سخت‌افزار از شناسنامه استنتاج نمی‌شود.
evidence:baai-bge-reranker-v2-m3-metadata,bge-reranker-v2-m3 — Hub metadata,https://huggingface.co/api/models/BAAI/bge-reranker-v2-m3?blobs=true,$.sha; $.id; $.pipeline_tag; $.cardData; $.safetensors; $.siblings,953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e,2026-09-15,publisher-report,BAAI/bge-reranker-v2-m3؛ فرادادهٔ مشاهده‌شده در این تاریخ، نه اندازه‌گیری اجرای مدل.,فهرست فایل و شمار tensorها معادل حافظهٔ اجرا یا شمار پارامتر یکتا نیست.
evidence:baai-bge-reranker-v2-m3-parameters,bge-reranker-v2-m3 — parameter specification,https://huggingface.co/BAAI/bge-reranker-v2-m3/blob/953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e/README.md,"README.md: parameter count / named model variant; matching lines 33, 39, 41, 43, 54, 60, 107, 115, 116, 286, 317, 330",953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e,2026-09-15,publisher-report,BAAI/bge-reranker-v2-m3؛ شمار پارامترهای معرفی‌شده و حدود شمارش آن‌ها.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.
evidence:baai-bge-reranker-v2-m3-license,bge-reranker-v2-m3 — license declaration,https://huggingface.co/BAAI/bge-reranker-v2-m3/blob/953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e/README.md,README.md: license / underlying-model terms; Hub $.cardData.license; matching lines 2,953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e,2026-09-15,publisher-report,BAAI/bge-reranker-v2-m3؛ نام و شرایط مجوز اعلام‌شدهٔ ناشر؛ بدون داوری دربارهٔ اجرای حقوقی در ایران.,
evidence:baai-bge-reranker-v2-m3-config,bge-reranker-v2-m3 — configuration,https://huggingface.co/BAAI/bge-reranker-v2-m3/blob/953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e/config.json,"config.json: architectures, model_type, text_config, max_position_embeddings, quantization_config, torch_dtype/dtype",953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e,2026-09-15,publisher-report,BAAI/bge-reranker-v2-m3؛ پیکربندی checkpoint، نه نتیجهٔ آزمون کیفیت یا سازگاری.,
